Ticker,ETF_Ticker,ETF_Name,Category,Expense_Ratio,Weightage
SYY,IYK,iShares U.S. Consumer Staples ETF,Consumer Staples Equities,0.43,2.06
SYY,VDC,Vanguard Consumer Staples ETF,Consumer Staples Equities,0.1,1.74
SYY,FSTA,FIDELITY COVINGTON TRUST MSCI CONSUMER STAPLES INDEX ETF,Consumer Staples Equities,0.08,1.68
TPR,WLDR,Affinity World Leaders Equity ETF,Large Cap Blend Equities,0.67,1.73
TPR,FSMO,Fidelity Small-Mid Cap Opportunities ETF,N/A,0.64,1.11
TFX,BMED,Future Health ETF,Health & Biotech Equities,0.85,1.87
TXT,ITA,iShares U.S. Aerospace & Defense ETF,Industrials Equities,0.42,4.55
TXT,XAR,SPDR S&P Aerospace & Defense ETF,Industrials Equities,0.35,4.32
TXT,PPA,Invesco Aerospace & Defense ETF,Industrials Equities,0.61,4.06
TXT,PWC,Invesco Dynamic Market ETF,All Cap Equities,0.6,2.16
TXT,JETS,U.S. Global Jets ETF,Industrials Equities,0.6,1.98
TXT,HAIL,SPDR S&P Kensho Smart Mobility ETF,Global Equities,0.45,1.66
TXT,FSMD,Fidelity Small-Mid Multifactor ETF,Small Cap Growth Equities,0.29,0.34
MOS,FXZ,First Trust Materials AlphaDEX Fund,Materials,0.67,4.38
MOS,RTM,Invesco S&P 500® Equal Weight Materials ETF,Materials,0.4,3.84
MOS,PYZ,Invesco DWA Basic Materials Momentum ETF,Materials,0.6,3.67
MOS,SXUS,Janus Henderson International Sustainable Equity ETF,All Cap Equities,0.6,3.64
MOS,JZRO,Janus Henderson Net Zero Transition Resources ETF,N/A,0.6,3.54
MOS,VEGI,iShares MSCI Global Agriculture Producers ETF,Large Cap Blend Equities,0.39,2.42
MOS,FTAG,First Trust Indxx Global Agriculture ETF,Large Cap Blend Equities,0.7,2.32
MOS,MOO,VanEck Agribusiness ETF,Large Cap Blend Equities,0.56,2.03
MOS,SPVM,Invesco S&P 500 Value with Momentum ETF,Large Cap Value Equities,0.39,1.29
MOS,SZNE,Pacer CFRA-Stovall Equal Weight Seasonal Rotation ETF,Large Cap Growth Equities,0.6,0.95
TJX,RTH,VanEck Retail ETF,Consumer Discretionary Equities,0.35,4.24
TJX,IEDI,iShares Evolved U.S. Discretionary Spending ETF,Consumer Discretionary Equities,0.18,2.12
TJX,JHMC,John Hancock Multifactor Consumer Discretionary ETF,Consumer Discretionary Equities,0.4,1.89
TJX,XLY,Consumer Discretionary Select Sector SPDR Fund,Consumer Discretionary Equities,0.12,1.88
TJX,QGRO,American Century STOXX U.S. Quality Growth ETF,Large Cap Growth Equities,0.29,1.8
TJX,VCR,Vanguard Consumer Discretionary ETF,Consumer Discretionary Equities,0.1,1.58
TJX,FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Consumer Discretionary Equities,0.08,1.39
TJX,IYC, iShares U.S. Consumer Discretionary ETF,Large Cap Growth Equities,0.43,1.37
TRMB,ARKX,ARK Space Exploration & Innovation ETF,Industrials Equities,0.75,9.1
TRMB,ARKQ,ARK Autonomous Technology & Robotics ETF,All Cap Equities,0.75,6.62
TRMB,UFO,Procure Space ETF,Global Equities,0.75,4.58
TRMB,PRNT,3D Printing ETF,Technology Equities,0.66,3.71
TRMB,NUMG,Nuveen ESG Mid-Cap Growth ETF,Mid Cap Growth Equities,0.3,2.28
TRMB,HAIL,SPDR S&P Kensho Smart Mobility ETF,Global Equities,0.45,1.66
TSN,FTXG,First Trust Nasdaq Food & Beverage ETF,Consumer Staples Equities,0.6,8.05
