Ticker,Year,Total_Revenue,Cost_of_Revenue,Gross_Profit,Operating_Expense,Operating_Income,Net_Non_Operating_Interest_Income_Expense,Other_Income_Expense,Pretax_Income,Tax_Provision
AVB,2018.0,2284535.0,770560.0,1513975.0,687561.0,826414.0,-220974.0,368575.0,974015.0,-160.0
AVB,2017.0,2158628.0,725321.0,1433307.0,634823.0,798484.0,-199661.0,277978.0,876801.0,141.0
BKR,2021.0,20512000.0,16659000.0,3853000.0,2410000.0,1443000.0,-274000.0,91000.0,1260000.0,975000.0
BKR,2020.0,20705000.0,17506000.0,3199000.0,2404000.0,795000.0,-264000.0,-15733000.0,-15202000.0,559000.0
BKR,2019.0,23838000.0,19406000.0,4432000.0,2832000.0,1600000.0,-237000.0,-610000.0,753000.0,482000.0
BKR,2018.0,22877000.0,18891000.0,3986000.0,2699000.0,1287000.0,-223000.0,-523000.0,541000.0,258000.0
BKR,2017.0,17259000.0,14046000.0,3213000.0,2535000.0,678000.0,-131000.0,-718000.0,-171000.0,71000.0
BAC,2021.0,88726000.0,,,,,,,32277000.0,1842000.0
BAC,2020.0,86266000.0,,,,,,,18995000.0,1101000.0
BAC,2019.0,91244000.0,,,,,,,32754000.0,5324000.0
BAC,2018.0,91247000.0,,,,,,,34584000.0,6437000.0
BAC,2017.0,87352000.0,,,,,,,29213000.0,10981000.0
BAX,2021.0,12451000.0,7561000.0,4890000.0,3222000.0,1668000.0,-156000.0,-108000.0,1404000.0,180000.0
BAX,2020.0,11673000.0,7086000.0,4587000.0,3036000.0,1551000.0,-134000.0,-125000.0,1292000.0,182000.0
BAX,2019.0,11362000.0,6601000.0,4761000.0,3885000.0,876000.0,-71000.0,165000.0,970000.0,-41000.0
BAX,2018.0,11127000.0,6346000.0,4781000.0,3134000.0,1647000.0,-45000.0,91000.0,1693000.0,63000.0
BAX,2017.0,10561000.0,6099000.0,4462000.0,3204000.0,1258000.0,-55000.0,14000.0,1217000.0,493000.0
BBY,2021.0,52276000.0,40413000.0,11863000.0,8488000.0,3375000.0,-32000.0,-185000.0,3158000.0,627000.0
BBY,2021.0,47262000.0,36689000.0,10573000.0,7928000.0,2645000.0,-52000.0,-216000.0,2377000.0,579000.0
BBY,2020.0,43638000.0,33590000.0,10048000.0,7998000.0,2050000.0,-64000.0,7000.0,1993000.0,452000.0
